loop step,time (secs)
0,0.5003702640533447
1,0.9685208797454834
2,1.3024787902832031
3,1.63954496383667
4,1.971919059753418
5,2.388270616531372
6,2.7535204887390137
7,3.1163079738616943
8,3.484626054763794
9,3.8695261478424072
10,4.2363386154174805
11,4.605303049087524
12,4.964763164520264
13,5.3391945362091064
14,5.708552837371826
15,6.073896884918213
16,6.457968711853027
17,6.847774028778076
18,7.213787794113159
19,7.60008692741394
20,7.963617324829102
21,8.343287944793701
22,8.712982654571533
23,9.085312843322754
24,9.506556510925293
25,9.904384136199951
26,10.28528881072998
27,10.664690732955933
28,11.03842306137085
29,11.525632381439209
30,12.017885208129883
31,12.424861907958984
32,12.813157320022583
33,13.304661989212036
34,13.734621047973633
35,14.104977369308472
36,14.492478847503662
37,14.87755823135376
38,15.248621225357056
39,15.628960847854614
40,15.98296332359314
41,16.39240550994873
42,16.788231134414673
43,17.174497604370117
44,17.58570384979248
45,18.02397394180298
46,18.409475088119507
47,18.848187685012817
48,19.232727766036987
49,19.597028017044067
50,19.958053827285767
51,20.3570659160614
52,20.71748924255371
53,21.072172164916992
54,21.490121364593506
55,21.900162935256958
56,22.26139187812805
57,22.636869430541992
58,22.99740171432495
59,23.425772190093994
60,23.82893657684326
61,24.211511373519897
62,24.570751428604126
63,24.934290885925293
64,25.304369926452637
65,25.68526554107666
66,26.02828335762024
67,26.39086413383484
68,26.77706003189087
69,27.15807342529297
70,27.53182101249695
71,27.89258861541748
72,28.260778188705444
73,28.636555671691895
74,29.025027990341187
75,29.472094535827637
76,29.896979808807373
77,30.28933548927307
78,30.663816213607788
79,31.052719831466675
80,31.436786651611328
81,31.81085205078125
82,32.17404079437256
83,32.59223914146423
84,32.93193745613098
85,33.311434507369995
86,33.68682360649109
87,34.05733370780945
88,34.42808437347412
89,34.80100345611572
90,35.16848564147949
91,35.53748345375061
92,35.91069197654724
93,36.35548973083496
94,36.72491216659546
95,37.11074757575989
96,37.52751421928406
97,37.90680122375488
98,38.27515244483948
99,38.66276693344116
100,39.052507400512695
101,39.40891742706299
102,39.793747663497925
103,40.15568780899048
104,40.54566931724548
105,40.90778303146362
106,41.301695585250854
107,41.67268753051758
108,42.0483033657074
109,42.42792081832886
110,42.76237225532532
111,43.13373017311096
112,43.50407314300537
113,43.88158059120178
114,44.28609752655029
115,44.72344732284546
116,45.08804178237915
117,45.47439217567444
118,45.831120014190674
119,46.201186180114746
120,46.57714653015137
121,46.941420555114746
122,47.33048439025879
123,47.713321924209595
124,48.07765293121338
125,48.461261510849
126,48.8433563709259
127,49.2073438167572
128,49.60184168815613
129,49.96150493621826
130,50.33469581604004
131,50.703967809677124
132,51.08978271484375
133,51.485584020614624
134,51.85944724082947
135,52.261417627334595
136,52.64573311805725
137,53.0817449092865
138,53.50076961517334
139,53.87232303619385
140,54.328152656555176
141,54.758588552474976
142,55.151129722595215
143,55.53740572929382
144,55.94702363014221
145,56.33285665512085
146,56.725666999816895
147,57.13430452346802
148,57.52379131317139
149,57.89460229873657
150,58.28438758850098
151,58.71576404571533
152,59.17520308494568
153,59.55139970779419
154,59.941452980041504
155,60.34102749824524
156,60.80354285240173
157,61.20769667625427
158,61.62813067436218
159,62.01266050338745
160,62.44701910018921
161,62.813859701156616
162,63.20790100097656
163,63.60287523269653
164,63.99697232246399
165,64.40734267234802
166,64.85534882545471
167,65.24588346481323
168,65.62632846832275
169,66.00001645088196
170,66.42650389671326
171,66.88220739364624
172,67.29233622550964
173,67.65975761413574
174,68.05556583404541
175,68.43105173110962
176,68.78531217575073
177,69.13983750343323
178,69.52895545959473
179,69.91582322120667
180,70.3254406452179
181,70.77403855323792
182,71.15329599380493
183,71.50944566726685
184,71.88731336593628
185,72.25911903381348
